Timestamp,WereYouEligibleToApplyForAnAugust2021St3Post,WhatIsYourAge,WhatIsYourSex,WhichRegionAreYouCurrentlyWorkingIn,WhatIsYourCurrentRole,HowManyYearsOfClinicalExperienceInAnaesthesiaWouldYouHaveCompletedByAugust2021,WhatIsYourCurrentContractedWorkingPattern,DidYouApplyForAnSt3AnaestheticsPostToCommenceInAugust2021,WereYouSuccessfulWithYourSt3ApplicationInThisApplicationRound,HaveYouAcceptedAnSt3AnaestheticsPostToCommenceInAugust2021,IfNotPleaseTellUsWhy,WhatWasYourReasonForNotApplying,AtTheTimeOfSt3ApplicationWereYouAwareOfThePlannedBreakInRecruitmentFromAugust2022,DidYouFeelTheEffectsOfCurriculumChangesOnRecruitmentWereWellExplainedToYouPriorToTheSt3ApplicationDeadline,WouldMoreInformationRegardingChangesToTheCurriculumAndRecruitmentHaveChangedYourDecisionNotToApply,WhatAreYourPotentialPlansForTheUpcoming1_2YearsSelectAllThatApply,DoYouFeelConfidentOrAssuredThatYouWillBeAbleToAchieveTheNecessaryCompetenciesToApplyForSt4InAugust2023,HasTheTimeOutOfATrainingProgrammeAffectedAnyOfYourWiderLifePlansEGMovingLocationFamilyPlanningBuyingAHouse,HowConfidentAreYouThatYouWillBeAbleToAchieveGmcRegistrationOnTheSpecialtyRegisterInAnaesthesiaWithoutATrainingNumber,WhatGeneralConcernsWouldYouLikeToShareWithUsRegardingThisYearsSt3ApplicationsIfThereAreSpecificPersonalCircumstancesYouAreHappyToShareWithTheRelevantStakeholdersPleaseFeelFreeToContributeThemHereWeMayPublishSomeOfTheseAsAnonymisedQuotesToConveyTheDepthOfFeelingAroundThisIssue,ID
2021-06-12T00:22:11Z,Yes,25-30,Female,NHS Education for Scotland,Intensive Care Medicine Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, ICM ST3 post, Pursue training in a different specialty - specify below, Career break",No,Yes,Not confident,I am completely devastated disheartened by anaesthesia and the RCOAS response to recruitment this year. Recruitment to dual training is so challenging it's like they are forcing us to choose one or the other when both compliment each other perfectly,604
2021-06-12T07:31:47Z,Yes,31-35,Female,Health Education South West (Peninsula & Severn),Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,The whole process from online application to job allocation was extremely flawed and inherently unfair. All the processes put in place to try and communicate or appeal were difficult to use and over all the communication from ANRO was at best unfeeling and at worse callous with complete disregard of the magnitude of the importance of moving onto the next stage has on every part of a doctors life. Extremely disappointing.,606
2021-06-12T08:48:13Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607
2021-06-12T09:55:31Z,Yes,25-30,Male,Health Education North East,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Simulation teaching fellow",No,Don't know,Not confident,NA,608
2021-06-12T09:58:01Z,Yes,25-30,Male,Health Education and Improvement Wales,Anaesthetic Core Trainee,3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609
2021-06-12T09:59:08Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am a CT1 and am concerned that when I apply for ST4 I will be competing against multiple anaesthetists who have years more experience than me,610
2021-06-12T12:10:34Z,Yes,25-30,Male,Health Education Yorkshire and the Humber,Intensive Care Medicine Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,Yes,No,Not confident,NA,611
2021-06-12T12:16:51Z,Yes,31-35,Female,Health Education Yorkshire and the Humber,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612
2021-06-12T13:32:36Z,Yes,25-30,Female,NHS Education for Scotland,Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Generally stressful application process due to uncertainty of number of posts, the stress about potential 2 year gap and having to find CT3 equivalent posts. Late guidance on the top up jobs adding to stress",613
2021-06-12T17:20:18Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614
2021-06-12T17:45:03Z,Yes,31-35,Female,Health Education Yorkshire and the Humber,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,3,LTFT,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I am relocating for my ST3 post and received the news that I had a job through clearing so quite late on. This gives me 2 months to relocate and yet the application process itself has been drawn out over 7 months. This is a 7 month period when you can't plan any big things in your life as you have no idea what will happen moving forward. This needs to change, we have no autonomy.",615
2021-06-12T18:08:12Z,Yes,31-35,Male,Health Education and Improvement Wales,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,No,NA,NA,NA,"Wanted to take a break from training, Wanted to explore another medical specialty other than anaesthesia, Required competencies in other specialties for PHEM application",No,No,Yes,"CT3 top-up post, Non-training fellow post, ICM ST3 post",Don't know,Yes,Not confident,"I think it's been a total shambles and a total kick in the teeth after we worked so hard stepping out of training supporting the Covid response. The lack of a solid plan for what happens if we don't get the last st3 jobs is really concerning, and there is also the fact that this is going to have a knock on effect with competition ratios for a long while. I think it's bad enough in core anaesthetic training that you have to competitively re-apply to continue your training, at a late stage in life when we have established homes, families etc. We've already proved that anaesthetics is the career we want to pursue by taking exams, completing core requirements. Why do we have to prove it again and risk having to move to another part of the country? I feel fortunate in a way that my plans always involved time out of training, I only hope there is a consistent plan to get CT3 sign off completed so I can be eligible for st4 in August 2023",616
2021-06-12T19:08:48Z,Yes,25-30,Male,Health Education West Midlands,Anaesthetic Core Trainee,2,Full-time,No,NA,NA,NA,"Lack of core experience due to the COVID-19 pandemic, Awareness of increased competition ratios and/or reduced CV opportunities during COVID, Wanted to take a break from training",Yes,No,No,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,NA,617
2021-06-13T15:06:28Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618
2021-06-13T18:10:09Z,Yes,25-30,Male,Health Education East of England,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619
2021-06-13T21:05:45Z,Yes,36-40,Female,"Health Education Kent, Surrey & Sussex",Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Pursue training in a different specialty - specify below, Work abroad, Career break, Permanently leaving the medical profession",Don't know,Yes,Not confident,"I am concerned that the CT3 'Top Up' posts available are in fact not funded posts by HEE and as such are not true training posts. The payscale and contract are different and it will mean a paycut or loss of annual leave for some trainees. In addition there is no guaranteed training which is at the goodwill of the hospital and department that you are working in - how can we be assured these unfunded posts will fulfil the training gap we have ben left in? Furthermore, as a trainee in my late 30's I had been looking forward to buying a house and 'settling down' after nearly 10 years of rotational posts between foundation training and core training. I now have another 2 years before I can even think of doing this if I want to continue to pursue the career i have heavily invested in so far. This is if I am lucky to get a post in 2023, where the competition for ST4 places will likely be even higher unless there is a significant increase in the number of training posts available to account for the bottleneck. To remain 'competitive' as an applicant in 2023 I have to continue to maintain my (very expensive) 'courses' for points on application (eg ATLS,APLS etc at hundreds of pounds a go) without access to the training budget trainees have to do this. My training will be prolonged by at least a further year if not more. I feel very letdown, unsure about my future and whether I should continue to pursue anaesthetic training or if I am better off looking at other avenues.",620
2021-06-13T22:14:32Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621
2021-06-14T07:29:54Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622
2021-06-14T08:42:12Z,Yes,41-45,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Yes,Yes,Not confident,NA,623
2021-06-14T09:08:16Z,Yes,31-35,Female,Health Education East of England,Anaesthetic Core Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Further education, e.g. pursue a higher degree",No,Yes,Not sure,Incredibly disheartened that I qualified with enough points for a job but just not enough jobs available,624
2021-06-14T11:29:32Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,No,NA,NA,NA,Awareness of increased competition ratios and/or reduced CV opportunities during COVID,No,No,Yes,"CT3 top-up post, Non-training fellow post",Don't know,Yes,Not sure,NA,625
2021-06-14T11:30:13Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nil,626
2021-06-14T11:47:56Z,Yes,25-30,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I found the implementation of the criteria for portfolio scores to be reviewed was not well applied. The original submitted score I submitted was lower because I had yet to gain more points by the time of evidence submission on the online portal. By this time I would have been deserving of more points. Unfortunately evidence from a whole domain on my portfolio was missed by the verifiers and the responses I was receiving from ANRO were unsupportive, showed little nuance and understanding of the situation I found myself. It was in short: a 'computer says no' response; ""we just apply the process"". I was not allowed to appeal because the difference between my original submitted score and verification score was <5 points. I had lost 4 points through missed evidence and I wished to contest at least 2 other points from other domains. 

I informed my educational supervisor and college tutor but they were powerless. I took it upon myself to contact the chair of RAG recruitment, who very kindly informed me that I might still be able to retrieve the points lost by human error by submitting a complaint. 

The ANRO instructions and my correspondence with them did not make it clear that the complaint process was a way of notifying them about appealing for scoring miscalculations due to human error. Given that the process is very human based, this was an an avoidable scenario. I am disappointed that it required contacting the RAG chair directly and seeking advice on anaesthetic Twitter to ""try my luck"" to retrieve points.",627
2021-06-14T12:25:59Z,Yes,31-35,Male,Health Education South West (Peninsula & Severn),Intensive Care Medicine Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,Don't know,No,Not confident,NA,628
2021-06-14T15:34:36Z,Yes,25-30,Male,"Health Education Kent, Surrey & Sussex",Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,No,Yes,Not confident,"Allowing trainees without the Primary exam to apply and start ST3 in the same year as a shambolic curriculum change in the middle of a pandemic was always going to result in an enormously oversubscribed programme. The situation was totally foreseeable and nothing was done to mitigate it. 
Without prior warning, the weighting of interview to portfolio was dramatically changed compared to usual and this gives unfair advantage to candidates who have had multiple career breaks and changes - hardly selecting for candidates who have had a long-standing commitment to anaesthesia. 
CT2s are now left in limbo, scrambling for the few CT3-compliant jobs available for fear of being stuck indefinitely in this no-man's-land. 
Finding short-term accommodation and forcing partners and families into difficult decisions about their own life-plans in the interim is grossly unfair and immensely stressful in the middle of a global pandemic. To make matters worse, the next ST4 intake is not due to commence until the current CT1s are eligible - again creating a horrendously competitive recruitment round where history can repeat itself. 
It really is beyond belief that trainees who have been integral to the pandemic response and worked tirelessly throughout are being treated in this way.",629
2021-06-14T19:57:57Z,Yes,25-30,Female,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the change in curriculum plans and lack fo clarity for the last 2 years, with the lack of opportunity to apply for st4 in 2022 closing a number of doors",630
2021-06-14T21:22:10Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,No,NA,NA,NA,"Awareness of increased competition ratios and/or reduced CV opportunities during COVID, Wanted to take a break from training, Wanted to pursue other interests or opportunities, e.g. research or management, etc.",No,No,Yes,"CT3 top-up post, Non-training fellow post, Work abroad",Don't know,Don't know,Not confident,NA,631
2021-06-15T09:40:40Z,Yes,36-40,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selection heavily favours those who have taken additional years out of training to gain points. Couple this with me being unwilling to move house as I am 37, have a family and a home I'm planning to stay in for decades, I feel I was incredibly lucky to gain a suitable training post. Others just as capable were not so lucky.",633
2021-06-15T12:31:54Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am eligiable for Feb 2022 intake. I am concerned about the avliability of ST3 top up jobs after that.,634
2021-06-15T19:32:25Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I think the way the trainees have been treated in regards to ST3 applications has been extremely poor. 
1) Appears to be a lack of acknowledgement/leeway for applications/specification requirements given the extremely disrupting year and a half to one of the most had hit specialties where anaesthetic juniors have work exceptionally hard during COVID
2) How can there not be enough funding for training jobs and not enough training jobs! Again - what an awful way to treat trainees when they have worked so hard to firstly get into anaesthetic training in the first place and then with this to happen just after a peak of a pandemic to the specialty who was so involved.  
3) Seems like a lack of backing from the RCOA and from individual regions
4) Lack of support after people have found out they have not got a training job - a statement really does not do the situation justice. How can a highly trained doctor not be able to progress.... and on rotas there are HUGE shortages of registrars and consultants. The lack of jobs this year is only going to make this a bigger issue in future years - seems like a massive lack in insight and planning/looking into the future to ensure good staffing levels, safety and progression. 
5) I personally know people giving up their anaesthetic training number and after COVID plus the kick in the teeth over ST3 jobs, can we really be surprised? ...",635
2021-06-15T20:43:53Z,Yes,31-35,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lack of ability to appeal discrepancies in self assessment, when 2-3 marks was the difference of 60-80 rankings . The annual number of Core / ACCS anaesthesia exit posts should be at least matched to ST3 posts available OR training should be run through. Otherwise this is unfair on trainees who can get stuck. There are also international graduates entering at ST3 which further increases competition at this level",636
